group1,group2,meandiff,p-adj,lower,upper,reject
FULL | X | PDE,FULL | X | SPLINE,-0.0009,1.0,-5.9419,5.9402,False
FULL | X | PDE,FULL | Y | PDE,14.7062,0.0,8.7651,20.6472,True
FULL | X | PDE,FULL | Y | SPLINE,14.7062,0.0,8.7651,20.6472,True
FULL | X | PDE,MID | X | PDE,-0.0306,1.0,-5.9716,5.9105,False
FULL | X | PDE,MID | X | SPLINE,-0.0301,1.0,-5.9711,5.9109,False
FULL | X | PDE,MID | Y | PDE,14.6216,0.0,8.6806,20.5627,True
FULL | X | PDE,MID | Y | SPLINE,14.6216,0.0,8.6806,20.5627,True
FULL | X | SPLINE,FULL | Y | PDE,14.707,0.0,8.766,20.6481,True
FULL | X | SPLINE,FULL | Y | SPLINE,14.707,0.0,8.766,20.6481,True
FULL | X | SPLINE,MID | X | PDE,-0.0297,1.0,-5.9707,5.9113,False
FULL | X | SPLINE,MID | X | SPLINE,-0.0293,1.0,-5.9703,5.9118,False
FULL | X | SPLINE,MID | Y | PDE,14.6225,0.0,8.6815,20.5635,True
FULL | X | SPLINE,MID | Y | SPLINE,14.6225,0.0,8.6815,20.5635,True
FULL | Y | PDE,FULL | Y | SPLINE,0.0,1.0,-5.941,5.941,False
FULL | Y | PDE,MID | X | PDE,-14.7367,0.0,-20.6778,-8.7957,True
FULL | Y | PDE,MID | X | SPLINE,-14.7363,0.0,-20.6773,-8.7953,True
FULL | Y | PDE,MID | Y | PDE,-0.0845,1.0,-6.0256,5.8565,False
FULL | Y | PDE,MID | Y | SPLINE,-0.0845,1.0,-6.0256,5.8565,False
FULL | Y | SPLINE,MID | X | PDE,-14.7367,0.0,-20.6778,-8.7957,True
FULL | Y | SPLINE,MID | X | SPLINE,-14.7363,0.0,-20.6773,-8.7953,True
FULL | Y | SPLINE,MID | Y | PDE,-0.0845,1.0,-6.0256,5.8565,False
FULL | Y | SPLINE,MID | Y | SPLINE,-0.0845,1.0,-6.0256,5.8565,False
MID | X | PDE,MID | X | SPLINE,0.0004,1.0,-5.9406,5.9415,False
MID | X | PDE,MID | Y | PDE,14.6522,0.0,8.7112,20.5932,True
MID | X | PDE,MID | Y | SPLINE,14.6522,0.0,8.7112,20.5932,True
MID | X | SPLINE,MID | Y | PDE,14.6518,0.0,8.7107,20.5928,True
MID | X | SPLINE,MID | Y | SPLINE,14.6518,0.0,8.7107,20.5928,True
MID | Y | PDE,MID | Y | SPLINE,0.0,1.0,-5.941,5.941,False
